entity,subgraph_type,total_triples,unique_predicates,unique_subjects,unique_objects,literal_objects,description_predicates,literal_predicates
'03 Bonnie & Clyde,one_hop,72,23,4,36,65,0,0
'03 Bonnie & Clyde,two_hop,95,23,22,41,87,0,0
'03 Bonnie & Clyde,description,0,0,0,0,0,0,0
'03 Bonnie & Clyde,literal,60,23,2,31,60,0,0
#thatPOWER,one_hop,42,18,3,22,40,1,0
#thatPOWER,two_hop,67,21,20,30,65,1,0
#thatPOWER,description,1,1,1,1,1,1,0
#thatPOWER,literal,40,18,3,20,40,1,0
TV Episode,one_hop,41,1,41,1,41,0,0
TV Episode,two_hop,43,2,41,3,43,0,0
TV Episode,description,0,0,0,0,0,0,0
TV Episode,literal,39,1,39,1,39,0,0
#9 Dream,one_hop,36,14,1,23,35,0,1
#9 Dream,two_hop,58,17,23,23,57,0,9
#9 Dream,description,0,0,0,0,0,0,0
#9 Dream,literal,35,14,1,22,35,0,1
  Adventures by Disney - 5-Night Mediterranean Magic Cruise,one_hop,33,4,1,33,31,0,0
  Adventures by Disney - 5-Night Mediterranean Magic Cruise,two_hop,35,5,3,33,33,0,0
  Adventures by Disney - 5-Night Mediterranean Magic Cruise,description,0,0,0,0,0,0,0
  Adventures by Disney - 5-Night Mediterranean Magic Cruise,literal,31,4,1,31,31,0,0
